"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnection.java",0,3,44,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,12,1,1,1,2,3,3,3,12,19,3,1,6,15,1,11,0,3,1,33,2,0,3,2,4,2.66666666666667,2,2,1.33333333333333,1,1,1,1,3,0.5,0,0,0,0,0,0,0.977272727272727,0,0,1,0,1,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelConnectionFactory.java",0,4,55,2,0,1,0,5,1,4,0,0,1,4,24,1,4,5,14,1,1,2,3,7,5,4,14,25,5,0.96,6,19,2,13,0,4,1,50,4,0,3,2,2,1.25,0,5,2,1,2,1.25,1,1,0.5,0,0,0,0,0,0,0.981818181818182,0,0,1,0,1,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelDestination.java",0,3,162,4,0,1,0,26,1,4,0,0,1,21,34,1,21,26,46,2,4,4,19,34,26,21,46,102,29,0.33,26,75,4,48,0,21,1,88,1,2,5,3,7,1.9047619047619,0,5,1.71428571428571,1,6,1.33333333333333,1,2,0.347826086956522,0,1,1,1,4,1,0.919753086419753,1,0,2,1,1,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageConsumer.java",0,6,173,6,0,1,0,31,2,6,0,0,2,17,26,2,17,30,46,4,9,6,13,59,30,21,46,126,44,0.21,21,90,6,62,0,17,2,84,1,2,3,2,8,2.88235294117647,0,6,2.64705882352941,0,7,1.82352941176471,1,3,0.75,0,0,0,0,0,0,0.890173410404624,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageProducer.java",0,8,106,4,0,1,0,15,3,8,0,0,3,6,23,1,6,15,27,1,4,4,5,34,15,6,27,72,25,0.32,11,52,4,39,0,6,3,54,2,2,3,1,10,4.5,1,7,3.16666666666667,0,6,2.83333333333333,1,2,1.125,0,2,2,2,5,3,0.783018867924528,0.5,0,2,2,1,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueue.java",0,3,48,1,0,1,0,4,1,3,0,0,1,4,21,1,4,4,11,0,0,1,4,4,4,4,11,20,4,1.05,7,15,1,10,0,4,1,0,2,0,3,2,2,1,0,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0.916666666666667,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueReceiver.java",0,3,49,1,0,1,0,2,1,7,0,3,1,2,29,1,2,2,9,0,0,1,2,3,2,2,9,14,3,2.07,6,12,1,9,0,2,1,0,2,0,2,2,4,2,0,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0.92,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelQueueSender.java",0,3,91,1,0,1,0,4,1,12,0,9,1,4,60,1,4,4,12,0,0,1,4,4,4,4,12,21,4,2.86,10,16,1,11,0,4,1,0,3,0,2,2,5,2.75,0,2,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0.626373626373626,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopic.java",0,3,49,1,0,1,0,4,1,3,0,0,1,4,21,1,4,4,11,0,0,1,4,4,4,4,11,19,4,1.11,9,15,1,10,0,4,1,0,2,0,3,2,4,1.5,0,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0.94,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicPublisher.java",0,3,146,1,0,1,0,6,1,16,0,13,1,6,102,1,6,6,16,0,0,1,6,6,6,6,14,29,6,3.52,15,20,1,13,0,6,1,0,3,0,2,2,5,2.66666666666667,0,2,1.33333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0.958904109589041,0,0,1,0,1,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/CamelTopicSubscriber.java",0,3,65,1,0,1,0,3,1,9,0,5,1,3,38,1,3,3,10,0,0,1,3,5,3,3,10,19,5,2,8,15,1,11,0,3,1,0,2,0,2,2,6,2,0,3,2.66666666666667,2,1,1,1,0,0,0,0,0,0,0,0,0.938461538461538,0,0,2,0,0,"FALSE",0,"FALSE",0
"activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQComponent.java",0,4,136,2,0,1,0,23,2,5,2,1,2,15,39,1,15,23,26,3,2,2,12,29,23,15,23,78,27,0.5,19,50,2,26,0,13,2,86,2,0,2,1,6,1.6,0,6,2.13333333333333,1,2,1.53333333333333,1,4,0.777777777777778,0,0,0,0,0,0,0.507352941176471,0,0,3,0,0,"FALSE",0,"TRUE",2
"activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java",0,6,192,6,0,1,0,27,2,8,1,2,2,16,58,1,16,26,39,3,5,6,13,53,26,21,37,114,39,0.51,20,76,6,49,0,15,2,85,2,0,2,1,4,2,0,11,2.5,1,24,2.75,1,3,0.666666666666667,0,2,2,2,4,3,0.734375,0.5,0,2,2,1,"FALSE",0,"TRUE",2
