"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"camel-core/src/main/java/org/apache/camel/AlreadyStoppedException.java",0,3,29,1,0,1,0,1,1,3,0,0,1,1,21,1,1,1,3,0,0,1,1,1,1,1,3,6,1,3.5,2,4,1,2,0,1,1,0,3,0,0,1,3,3,3,2,2,2,1,1,1,3,0.75,0,0,0,0,0,0,0.862068965517241,0,0,2,0,2,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/AsyncCallback.java",0,1,35,1,1,1,0,1,1,8,0,7,1,1,27,1,1,1,3,0,0,1,0,0,1,1,3,4,0,6.75,4,3,1,2,0,1,1,0,0,16,0,0,20,20,20,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.914285714285714,0,0,2,0,0,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/AsyncProcessor.java",0,1,46,1,1,1,0,1,1,13,0,12,1,1,37,1,1,1,3,0,0,1,0,0,1,1,3,4,0,9.25,5,3,1,2,0,1,1,0,1,13,2,1,16,16,16,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.826086956521739,0,0,2,0,1,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/Body.java",0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,8,0,0,0,0,0,0,0,6,9,0,2.33,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,0.84375,0.5,0,2,2,1,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/BinaryPredicateSupport.java",0,3,69,2,0,1,0,8,1,4,0,0,1,7,21,1,7,8,20,4,2,2,3,14,8,7,19,37,9,0.57,11,28,2,21,0,7,1,42,1,7,2,2,4,2.57142857142857,1,4,2.14285714285714,1,2,1.14285714285714,1,3,0.545454545454545,0,2,2,2,12,12,1,0.5,0,1,2,0,"TRUE",1,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/Builder.java",1,3,121,1,0,1,0,11,1,7,10,3,1,11,62,1,11,11,24,0,0,1,10,18,11,11,23,46,10,1.35,13,33,1,21,0,1,1,0,1,0,3,2,5,2.81818181818182,0,3,2.72727272727273,1,1,1,1,0,0,0,4,4,2,63,31,0.644628099173554,0.75,0,3,2,1,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/BuilderSupport.java",0,3,270,2,0,1,0,38,1,6,0,2,1,31,97,1,31,37,51,3,3,3,28,53,37,31,52,137,47,0.71,36,99,2,60,0,31,1,89,1,1,12,2,24,2.93548387096774,0,6,2.35483870967742,1,2,1.19354838709677,1,1,0.216216216216216,0,5,5,3,88,14,0.744444444444444,0.4,0,3,3,2,"TRUE",1,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/ConstantProcessorBuilder.java",0,3,36,1,0,1,0,2,1,3,0,0,1,2,21,1,2,2,6,0,1,1,2,2,2,2,6,11,2,1.91,4,8,1,5,0,2,1,0,1,0,1,2,2,1.5,1,2,1.5,1,1,1,1,0,0,0,1,1,1,7,0,0.916666666666667,1,0,2,1,1,"FALSE",0,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/DataFormatClause.java",1,3,162,3,0,1,0,18,1,6,0,2,1,14,72,2,16,17,32,0,4,3,15,23,18,16,31,71,19,1.01,19,50,2,33,0,16,1,100,3,0,11,1,16,1.75,0,3,2.625,1,3,1,0,1,0.15,0,7,7,3,60,4,0.864197530864197,0.428571428571429,0,2,3,1,"TRUE",1,"FALSE",0
"camel-core/src/main/java/org/apache/camel/builder/DeadLetterChannelBuilder.java",0,3,253,2,0,1,0,36,1,5,0,1,1,33,71,2,33,36,56,0,7,2,33,61,36,33,57,147,51,0.48,35,108,2,71,0,33,1,92,2,0,13,2,10,1.75757575757576,0,8,2.39393939393939,1,2,1.09090909090909,1,1,0.111111111111111,0,7,7,3,40,7,0.806324110671937,0.571428571428571,0,3,3,1,"TRUE",2,"FALSE",0
