"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"experimental/groovy/lang/MOP.java",0,1,165,1,15,1,3,15,1,7,0,6,1,15,125,1,15,15,20,0,0,1,0,3,15,15,20,21,0,5.95,19,20,1,19,0,15,1,100,0,1,0,0,0,0,0,1,0.866666666666667,0,1,1,1,6,0.333333333333333,0,0,0,0,0,0,0.987878787878788,0,0,1,0,1,"FALSE",0,"FALSE",0
"experimental/groovy/lang/NewMetaClass.java",0,2,341,1,0,1,3,59,1,3,0,0,1,59,124,1,59,59,64,0,0,1,59,45,59,59,64,149,42,0.83,68,106,1,63,0,59,1,96,1,0,0,2,22,4.42372881355932,0,2,1.54237288135593,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtime/MetaClassActions.java",0,2,32,1,0,1,0,2,1,2,0,0,1,2,21,1,2,2,4,1,0,1,1,1,2,2,4,7,1,3,5,5,1,3,0,2,1,0,1,0,0,1,1,0.5,0,1,1,1,1,1,1,7,1.4,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtime/MetaClassActionsGenerator.java",7,18,382,13,0,1,3,42,4,22,2,0,4,12,23,3,12,42,93,1,4,13,4,192,42,14,96,285,128,0.08,77,224,13,171,4,10,4,87,1,0,9,2,9,3.5,2,17,7.33333333333333,1,400,35.5833333333333,1,4,1.875,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/DefaultGroovyInstanceMethodGenerator.java",0,5,70,2,0,1,0,6,1,7,0,0,1,5,26,1,5,6,11,2,0,2,3,16,6,5,11,31,12,0.84,13,23,2,16,1,5,1,0,2,0,0,1,3,2,1,5,2.8,2,2,1.2,1,4,0.875,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/DefaultGroovyStaticMethodGenerator.java",0,3,41,1,0,1,0,2,1,4,0,1,1,2,26,1,2,2,5,1,0,1,1,2,2,2,5,10,2,2.6,5,7,1,4,0,2,1,0,2,0,0,1,3,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/InstanceMethodGenerator.java",0,3,35,1,0,1,0,2,1,3,0,0,1,2,20,1,2,2,5,1,0,1,1,2,2,2,5,10,2,2,5,7,1,4,0,2,1,0,2,0,0,1,2,2,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/MethodGenerator.java",1,11,193,14,0,1,2,41,3,12,0,0,3,12,26,1,12,40,25,3,1,14,8,101,40,15,27,140,90,0.19,29,117,14,78,0,12,3,80,1,6,2,1,9,4.66666666666667,1,7,3.58333333333333,0,14,3.33333333333333,1,4,1.21428571428571,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/OverloadedMethodsGenerator.java",0,12,198,13,0,1,0,29,3,14,0,0,3,9,48,1,9,28,34,1,3,13,8,81,28,12,36,117,61,0.41,36,97,13,69,2,9,3,59,2,0,0,1,5,2.55555555555556,0,15,4.88888888888889,0,24,4.55555555555556,1,4,1.54545454545455,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"experimental/org/codehaus/groovy/runtimemetaclassactionssupport/ReflectionMethodGenerator.java",0,13,106,13,0,1,0,16,4,16,0,1,4,4,30,1,4,16,12,1,1,13,3,43,16,4,13,60,38,0.5,17,51,13,34,2,4,4,50,2,0,0,1,5,2.25,0,12,4.5,0,13,4,1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
