"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/BuildResultWithTestCaseDetails.java",0,3,49,1,0,1,0,5,1,3,0,0,1,5,18,1,5,5,12,0,1,1,5,5,5,5,12,23,5,0.78,8,17,1,11,0,5,1,40,2,0,1,1,1,0.8,0,3,1.8,1,1,1,1,6,0.75,0,1,1,1,49,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/HistoryReport.java",0,6,87,8,0,1,0,15,2,7,0,0,2,7,17,1,7,14,22,0,3,9,7,28,14,10,27,59,28,0.29,11,55,8,36,0,7,2,57,1,0,0,1,3,2,1,8,2.42857142857143,1,36,6,1,2,0.666666666666667,0,1,1,1,88,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/TestCaseResult.java",0,3,61,1,0,1,0,9,1,3,0,0,1,9,17,1,9,9,15,0,4,1,9,9,9,9,15,34,9,0.5,10,24,1,14,0,9,1,72,1,0,0,1,3,1.33333333333333,1,2,1.11111111111111,1,1,1,1,0,0,0,1,1,1,61,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/TestResultHistory.java",1,21,260,18,3,2,5,43,5,26,3,2,5,8,38,1,8,38,68,1,2,21,3,126,38,15,73,187,77,0.2,36,150,18,104,3,5,5,78,1,0,4,1,5,4,1,25,6.875,1,1282,163.5,1,6,2.5,0,1,1,1,260,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/TestSuite.java",0,3,47,1,0,1,0,5,1,3,0,0,1,5,17,1,5,5,12,0,1,1,5,5,5,5,12,23,5,0.74,7,17,1,11,0,5,1,40,2,0,1,1,2,1,0,3,1.8,1,1,1,1,0,0,0,1,1,1,47,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/Abortable.java",0,1,45,1,2,1,0,2,1,5,0,4,1,2,35,1,2,2,6,0,0,1,0,0,2,2,5,7,0,5,3,5,1,4,0,2,1,0,0,33,0,0,63,33.5,4,1,0.5,0,1,1,1,8,1.6,0,4,4,2,51,6,0.577777777777778,0.75,0,2,2,0,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/CatalogTracker.java",2,10,439,12,1,1,2,58,3,18,0,7,3,17,199,2,17,51,74,0,6,16,14,118,51,25,62,216,74,0.92,24,136,12,95,0,17,3,79,1,0,14,2,17,6.82352941176471,0,9,3.76470588235294,0,12,3.11764705882353,1,3,1.0952380952381,0,6,6,4,711,272,0.883826879271071,0.5,0,2,4,6,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/MetaReader.java",2,9,612,6,13,1,2,82,2,14,26,5,2,38,232,9,38,69,153,0,4,8,23,176,69,51,114,340,123,0.68,40,237,6,163,0,12,2,100,2,5,17,2,16,5.10526315789474,1,14,3.94736842105263,0,20,2.13157894736842,1,3,0.612244897959184,0,7,7,3,719,107,0.869281045751634,0.714285714285714,0,2,3,4,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/Chore.java",0,5,142,6,0,1,0,15,2,9,0,3,2,9,65,1,9,15,23,5,3,6,4,31,15,13,21,66,24,0.98,11,45,6,30,0,9,2,66,2,17,2,1,18,3.44444444444444,0,10,2.44444444444444,0,6,1.66666666666667,1,4,1.18181818181818,0,3,3,3,145,3,0.683098591549296,0.333333333333333,0,5,3,1,"FALSE",0,"TRUE",2
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java",0,12,77,3,0,2,0,7,2,17,0,4,2,4,32,2,4,7,11,0,1,3,4,19,7,6,12,37,12,0.86,8,24,3,16,1,4,2,33,1,1,3,2,3,1,0,3,1.75,0,3,1.75,1,7,1.75,0,1,1,1,77,0,0.896103896103896,1,0,2,1,1,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/Action.java",0,3,68,3,0,1,0,9,1,3,0,0,1,6,24,1,6,8,19,0,2,4,6,11,8,8,13,35,12,0.69,9,25,3,16,0,6,2,50,1,0,1,2,10,4.33333333333333,1,3,2.16666666666667,1,3,1.33333333333333,1,1,0.333333333333333,0,4,4,3,96,27,0.63768115942029,0.5,0,2,3,2,"FALSE",0,"TRUE",3
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/Append.java",0,4,117,2,0,1,1,8,1,10,0,6,1,6,65,1,6,8,25,0,0,2,6,17,8,6,22,44,11,1.48,8,33,2,25,0,6,1,66,4,0,5,1,17,7.66666666666667,2,6,3.33333333333333,2,2,1.16666666666667,1,1,0.375,0,7,7,4,143,26,0.606837606837607,0.428571428571429,0,2,4,3,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java",8,13,754,14,3,1,1,92,3,20,0,5,3,30,237,4,30,82,154,7,20,16,12,261,82,35,140,435,159,0.54,85,299,14,212,1,30,3,86,1,2,22,2,17,6.6,1,32,5.9,0,61,5.16666666666667,1,5,1.13513513513514,0,10,10,5,799,45,0.948275862068966,0.5,0,1,5,4,"TRUE",1,"TRUE",7
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/Attributes.java",0,1,51,1,3,1,0,3,1,6,0,5,1,3,34,1,3,3,10,0,0,1,0,0,3,3,8,11,0,3.09,6,8,1,7,0,3,1,0,0,1,0,0,0,0,0,1,0.666666666666667,0,1,1,1,0,0,0,4,4,2,60,9,0.941176470588235,0.75,0,1,2,2,"FALSE",0,"FALSE",0
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java",3,16,439,18,0,2,0,67,4,24,0,7,4,14,133,1,14,51,87,5,16,28,6,174,51,25,76,281,119,0.47,27,195,18,142,0,14,5,81,2,0,23,1,17,5.71428571428571,1,26,7,1,451,37.7142857142857,1,5,1.625,0,15,15,6,544,105,0.687927107061503,0.533333333333333,0,4,6,4,"TRUE",1,"TRUE",2
"hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java",0,7,246,5,3,1,3,27,2,11,0,3,2,12,69,5,12,25,76,0,5,6,9,59,25,15,66,144,35,0.48,33,101,5,75,0,12,2,70,2,1,5,2,8,3.08333333333333,0,11,3.25,0,5,2.08333333333333,1,4,1,0,5,5,2,259,13,0.983739837398374,0.6,0,1,2,1,"FALSE",0,"TRUE",2
