"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"ant/src/org/apache/hadoop/hive/ant/GetVersionPref.java",0,5,94,5,0,1,0,9,2,7,0,1,2,5,39,1,5,9,19,0,2,5,5,14,9,5,18,41,11,0.95,14,29,5,20,0,5,2,40,2,0,0,1,3,1.6,1,7,2.2,1,8,2.4,1,4,0.875,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"ant/src/org/apache/hadoop/hive/ant/QTestGenTask.java",0,6,376,31,0,1,0,74,2,7,0,0,2,33,22,4,33,67,87,0,15,36,33,136,67,33,90,275,110,0.08,79,200,31,130,0,33,2,89,2,1,3,2,21,1.81818181818182,1,26,2.39393939393939,1,1034880,31361.0909090909,1,4,0.473684210526316,0,0,0,0,0,0,0.553191489361702,0,0,3,0,3,"TRUE",1,"TRUE",1
"builtins/src/org/apache/hive/builtins/BuiltinUtils.java",0,0,28,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,0,2,4,0,5.5,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,1,1,1,28,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"builtins/src/org/apache/hive/builtins/UDAFUnionMap.java",0,4,127,2,0,1,0,12,1,5,0,0,1,8,29,3,8,11,53,0,3,3,8,19,11,8,32,82,14,0.35,16,46,2,32,0,8,2,71,2,0,7,2,4,2,0,5,1.75,1,2,1.375,1,1,0.416666666666667,0,1,1,1,127,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java",5,24,743,22,2,2,4,118,5,32,5,4,5,21,110,4,21,105,159,0,4,25,14,371,105,43,170,548,247,0.2,90,417,22,306,3,16,6,88,1,0,27,2,16,4.52380952380952,1,61,10.3809523809524,1,1949,101.809523809524,1,7,2.03703703703704,0,5,5,3,26,6,0.261103633916555,0.6,0,7,3,6,"FALSE",0,"FALSE",0
"cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java",0,5,141,3,0,1,0,14,1,5,0,0,1,10,44,1,10,14,37,0,10,3,10,28,14,12,37,77,23,0.57,21,60,3,45,0,10,1,84,2,0,5,1,10,3.2,0,5,2.3,1,3,1.4,1,2,0.666666666666667,0,0,0,0,0,0,0.439716312056738,0,0,4,0,2,"FALSE",0,"FALSE",0
"cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java",1,21,194,6,0,1,1,15,3,28,0,2,3,5,32,1,5,14,29,0,3,7,4,92,14,7,32,128,45,0.25,34,77,6,58,5,5,3,65,1,0,2,1,7,4.2,2,20,8.4,1,9,4.2,1,2,1.14285714285714,0,0,0,0,0,0,0.412371134020619,0,0,4,0,2,"FALSE",0,"FALSE",0
"cli/src/java/org/apache/hadoop/hive/cli/RCFileCat.java",3,14,209,13,0,1,8,27,3,16,3,1,3,8,32,1,8,24,70,0,1,16,5,92,24,8,65,153,57,0.21,25,122,13,97,0,5,3,83,1,0,3,2,6,3.25,1,24,6.25,1,264,34.375,1,2,1,0,0,0,0,0,0,0.507177033492823,0,0,2,0,0,"FALSE",0,"FALSE",0
"cli/src/test/org/apache/hadoop/hive/cli/TestCliDriverMethods.java",1,10,102,1,0,1,0,3,1,17,0,3,1,3,31,1,3,3,36,0,0,1,2,25,3,3,36,53,13,0.58,18,49,1,45,3,3,1,0,2,0,8,1,6,2.66666666666667,1,15,11.3333333333333,9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"common/src/java/org/apache/hadoop/hive/common/classification/InterfaceAudience.java",1,1,45,1,1,1,0,2,1,1,0,0,1,2,30,4,2,2,9,0,0,1,0,0,2,2,8,10,0,3,6,8,1,6,0,2,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
