"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"bench/BenchParser.java",4,12,82,5,0,1,1,15,3,12,5,0,3,5,0,1,5,15,30,0,0,5,1,43,15,5,33,73,28,0,9,61,5,47,0,0,3,80,1,0,5,1,5,3.4,2,15,5.6,2,4,2.6,2,3,2.125,1,2,2,1,164,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/AbstractJRubyMojo.java",1,10,253,9,0,1,0,30,2,12,0,0,2,13,37,2,13,26,61,5,8,9,7,103,30,13,65,172,78,0.22,44,143,9,116,1,13,2,80,2,3,1,2,13,3.53846153846154,1,24,4.61538461538461,1,72,7.15384615384615,1,4,1.29411764705882,0,2,2,1,50,12,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/GemMojo.java",0,7,16,2,0,1,0,2,2,7,0,0,2,1,3,1,1,2,5,0,0,2,1,4,2,1,5,11,3,0.27,2,8,2,5,0,1,2,0,4,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/InstallGemsMojo.java",0,3,18,1,0,1,0,1,1,3,0,0,1,1,6,1,1,1,5,0,1,1,1,2,1,1,5,8,1,0.75,4,6,1,4,0,1,1,0,3,0,0,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/IRBMojo.java",0,5,20,2,0,1,0,3,2,5,0,0,2,2,3,1,2,3,6,0,0,2,2,5,3,2,6,14,4,0.21,3,10,2,6,0,2,2,0,4,0,0,1,1,0.5,0,2,1.5,1,2,1.5,1,1,0.75,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/JRubyMojo.java",0,3,23,1,0,1,0,2,1,3,0,0,1,2,6,1,2,2,8,1,1,1,1,4,2,2,8,12,2,0.5,5,10,1,7,0,2,1,50,3,2,0,1,4,2.5,1,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"maven/jruby-rake-plugin/src/main/java/org/jruby/maven/RakeMojo.java",0,27,64,5,0,1,0,5,5,28,0,0,5,1,16,1,1,5,19,0,4,5,1,25,5,1,19,41,17,0.39,7,36,5,30,1,1,5,0,3,0,0,1,4,4,4,13,13,13,8,8,8,2,2,2,2,2,1,4,2,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"samples/ext/mytest.c",0,4,24,1,0,1,0,2,1,4,0,0,1,2,6,0,0,2,6,0,0,1,0,5,2,2,6,11,3,0.55,6,9,1,7,0,0,1,0,0,0,0,0,1,0.5,0,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"samples/jrubyc_java/MyObjectTest.java",0,5,7,1,0,1,0,1,1,5,1,0,1,1,0,1,1,1,3,0,0,1,1,3,1,1,3,7,2,0,0,5,1,3,0,0,1,0,1,0,0,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,1,14,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"samples/jrubyc_java/MyObjectTest2.java",0,11,13,1,0,1,0,1,1,11,1,0,1,1,0,1,1,1,3,0,0,1,1,9,1,1,3,13,8,0,0,11,1,9,0,0,1,0,1,0,0,1,0,0,0,8,8,8,1,1,1,0,0,0,2,2,1,26,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/_funky/MyClass.java",0,1,5,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,1,1,1,1,3,4,1,0,1,4,1,2,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/AnotherRunnable.java",0,1,5,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,0,0,1,1,3,4,0,0,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.25,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ArrayReceiver.java",0,3,43,1,0,1,0,10,1,3,10,0,1,10,0,1,10,10,12,0,0,1,10,10,10,10,12,33,10,0,10,22,1,11,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ArrayReturningInterface.java",0,1,5,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,1,0,1,1,3,4,0,0,1,3,1,2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ArrayReturningInterfaceConsumer.java",0,3,7,1,0,1,0,1,1,3,0,0,1,1,0,1,1,1,3,0,0,1,1,1,1,1,3,6,1,0,1,4,1,2,0,1,1,0,1,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/BeanLikeInterface.java",0,1,26,1,0,1,0,12,1,1,0,0,1,12,6,1,12,12,14,0,0,1,12,0,12,12,14,14,0,0.43,6,14,1,13,0,12,1,0,0,0,0,0,1,1,1,1,0.583333333333333,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/BeanLikeInterfaceHandler.java",0,3,56,1,0,1,0,13,1,3,0,0,1,13,6,1,13,13,16,0,1,1,13,13,13,13,16,42,13,0.14,8,29,1,15,0,13,1,0,1,0,1,1,3,1.53846153846154,1,2,1.61538461538462,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/BooleanReturningInterface.java",0,1,5,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,0,0,1,1,3,4,0,0,1,3,1,2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/BooleanReturningInterfaceConsumer.java",0,6,10,2,0,1,0,2,2,6,0,0,2,1,0,1,1,2,3,0,0,2,1,3,2,1,3,9,3,0,1,6,2,3,0,1,2,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ClassWithEnums.java",0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,2,2,2,3,0,3,1,2,0,2,2,3,4,0,0,1,3,1,1,0,2,0,100,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ClassWithMultipleSignaturesWithPrimitiveArgs.java",0,3,19,1,0,1,0,4,1,3,4,0,1,4,1,1,4,4,6,0,0,1,4,4,4,4,6,14,4,0.07,4,10,1,5,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,3,3,1,60,0,1,1,0,1,1,0,"FALSE",0,"TRUE",2
"spec/java_integration/fixtures/ClassWithVarargs.java",0,3,48,1,0,1,0,13,1,3,4,0,1,13,0,1,13,13,17,0,1,1,13,13,13,13,17,44,13,0,4,30,1,16,0,9,1,61,1,0,0,1,1,1,1,3,2.23076923076923,1,1,1,1,0,0,0,4,4,1,140,44,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/CoerceToInterface.java",0,3,19,1,0,1,0,3,1,3,0,0,1,3,0,1,3,3,8,0,0,1,3,3,3,3,8,15,3,0,4,11,1,7,0,3,1,0,1,0,3,1,3,2,1,4,2.33333333333333,1,1,1,1,0,0,0,2,2,1,38,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ComplexPrivateConstructor.java",1,3,19,1,0,1,0,3,1,3,0,0,1,3,2,1,3,3,6,0,1,1,2,3,3,3,6,13,3,0.15,4,9,1,5,0,3,1,0,1,0,0,1,3,2.33333333333333,1,2,1.66666666666667,1,1,1,1,0,0,0,2,2,1,38,0,1,1,0,1,1,0,"FALSE",0,"TRUE",1
"spec/java_integration/fixtures/ConcreteWithVirtualCall.java",0,3,11,1,0,1,0,2,1,3,0,0,1,2,0,1,2,2,4,0,0,1,2,2,2,2,4,9,2,0,2,6,1,3,0,2,1,0,1,0,0,1,1,0.5,0,2,1.5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/ConstantHoldingInterface.java",0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,4,5,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/CoreTypeMethods.java",0,3,329,1,0,1,0,81,1,3,58,0,1,81,0,1,81,81,84,0,0,1,81,81,81,81,84,247,81,0,82,165,1,83,0,23,1,0,1,0,0,1,1,0.271604938271605,0,3,1.25925925925926,0,1,1,1,0,0,0,0,0,0,0,0,0.948328267477204,0,0,1,0,2,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/DescendantOfSingleMethodInterface.java",0,1,4,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,3,0,0,1,0,0,1,1,3,3,0,0,1,3,1,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/InnerClasses.java",0,1,48,1,0,1,0,10,1,1,10,0,1,10,0,21,10,10,32,0,0,1,10,10,10,10,32,45,10,0,3,42,1,11,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,2,1,96,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/JavaFields.java",0,0,56,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,49,0,21,0,0,44,0,0,47,50,0,0,6,47,0,46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,0,0.946428571428571,1,0,2,1,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/JavaIterable.java",0,5,20,2,0,1,0,3,2,5,0,0,2,2,0,1,2,3,6,0,1,2,2,4,3,2,7,17,4,0,3,11,2,6,0,2,2,0,1,0,0,2,2,1.5,1,3,2.5,2,2,1.5,1,1,0.75,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
"spec/java_integration/fixtures/JavaTypeMethods.java",0,3,30,1,0,1,1,6,1,3,3,0,1,6,0,1,6,6,10,0,1,1,6,6,6,6,10,23,6,0,7,16,1,9,0,3,1,66,1,0,0,1,1,0.666666666666667,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"FALSE",0,"FALSE",0
